@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.771654,0.409091,0.934307,0.666667,0,0.8,0.359514
0.594488,0.545455,0.948905,0.666667,0.384615,0.7,0.361109
0.547244,0.909091,0.992701,0.666667,0.538462,0.6,0.675571
0.629921,0.772727,0.875912,0.384615,0.461538,0.7,0.047742
0.637795,0.5,0.927007,0.384615,0.615385,0.6,0.047742
0.681102,0.454545,0.927007,0.512821,0.076923,0.7,0.675571
0.73622,0.590909,0.839416,0,0.307692,0.6,0.043357
0.649606,0.545455,0.875912,0.384615,0.461538,0.7,0.047742
0.614173,0.681818,0.912409,0.461538,0.461538,0.7,0.359514
1,0.636364,0.948905,0.512821,0.615385,0.7,0.359514
0.653543,0.409091,0.912409,0.512821,0.230769,0.7,0.670887
0.661417,0.545455,0.934307,0.461538,0.615385,0.6,0.675571
0.732283,0.681818,0.912409,0.461538,0.615385,0.8,0.373069
0.598425,0.545455,0.919708,0.384615,0.307692,0.7,0.675571
0.901575,0.681818,0.956204,0.589744,0.307692,0.4,0.675571
0.814961,0.818182,0.839416,0,0.461538,0.4,0.043357
0.653543,0.363636,0.905109,0.461538,0.615385,0.4,0.373069
0.755906,0.318182,0.905109,0.333333,0.615385,0.7,0.368584
0.586614,0.818182,0.985401,0.846154,0.384615,0.7,0.680255
0.755906,0.545455,0.927007,0.461538,0.307692,0.8,0.675571
0.649606,0.636364,0.839416,0.589744,0.384615,0.7,0.389914
0.704724,0.181818,0.883212,0.128205,0.615385,0.7,0.675571
0.708661,0.772727,0.919708,0.25641,0.461538,0.6,0.68494
0.673228,0.590909,0.912409,0.512821,0.384615,0.9,0.365594
0.720472,0.181818,0.905109,0.461538,0.307692,0.8,0.391209
0.700787,0.636364,0.934307,0.333333,0.153846,0.4,0.043357
0.744094,0.5,0.912409,0.461538,0.307692,0.9,0.359514
0.582677,0.772727,0.912409,0.512821,0.307692,0.6,0.074055
0.551181,0.681818,0.934307,0.25641,0.384615,0.6,0.675571
0.755906,0.227273,0.868613,0.128205,0.307692,0.8,0.043357
0.669291,0.454545,0.941606,0.384615,0.461538,0.8,0.363999
0.586614,0.636364,0.963504,0.384615,0.692308,0.5,0.680255
0.61811,0.454545,0.905109,0.461538,0.615385,0.5,0.382139
0.566929,0.409091,0.948905,0.384615,0.615385,0.8,0.699093
0.692913,0.454545,0.905109,0.384615,0.461538,0.9,0.052128
0.614173,0.363636,0.905109,0.384615,0.615385,0.7,0.363999
0.535433,0.818182,0.978102,0.846154,0.461538,0.5,0.680255
0.704724,0.409091,0.883212,0.384615,0.461538,0.6,0.049338
0.610236,0.545455,0.919708,0.333333,0.307692,0.8,0.675571
0.779528,0.863636,0.875912,0.384615,0.461538,0.7,0.370178
0.818898,0.545455,0.824818,0.128205,0.153846,0.3,0.670887
0.590551,0.863636,0.992701,0.794872,0.538462,0.7,0.680255
0.606299,0.818182,0.905109,0.846154,0.384615,0.9,0.363999
0.795276,0.272727,0.905109,0.461538,0.538462,0.6,0.043357
0.76378,0.454545,0.824818,0.128205,0.153846,0.6,0.039071
0.728346,0.545455,0.934307,0.512821,0.153846,0.7,0.363999
0.625984,0.727273,0.992701,0.384615,0.461538,0.6,0.680255
0.649606,0.636364,0.934307,0.384615,0.461538,0.6,0.680255
