@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,16-17-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute jialiaoliang numeric
@attribute jialiaocishu numeric
@attribute gongzuoshidianya numeric
@attribute zaosheng numeric
@attribute yangjixingchengri numeric
@attribute yangjixingchengdunlv numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute fehanliang numeric
@attribute sihanliang numeric
@attribute shijichulvliang numeric

@data
0.637383,0.599156,0.189055,0.242424,0.893471,0.727273,0.405405,0.900709,0.243902,0.7,0.69697,0.128,0.333333,1
0.765109,0.719409,0.211443,0.242424,0.869416,0.545455,0.351351,0.907801,0.121951,0.866667,0.69697,0.170667,0.166667,1
0.444237,0.417722,0.079602,0.090909,0.917526,0.772727,0.486486,0.950355,0.317073,0.766667,0.74026,0.168,0.166667,1
0.314642,0.324895,0.368159,0.151515,0.879725,0.681818,0.432432,0.900709,0.439024,0.733333,0.61039,0.066667,0.166667,1
0.51215,0.510549,0.39801,0.151515,0.917526,0.818182,0.594595,0.921986,0.756098,0.666667,0.82684,0.128,0.333333,0.965517
0.561371,0.556962,0.271144,0.393939,0.896907,0.727273,0.486486,0.907801,0.317073,0.666667,0.69697,0.090667,0.166667,0.965517
0.421807,0.396624,0.106965,0.151515,0.896907,0.727273,0.513514,0.964539,0.365854,0.733333,0.74026,0.165333,0.166667,0.965517
0.536449,0.533755,0.63184,0.454545,0.900344,0.318182,0.621622,0.900709,0.365854,0.7,0.5671,0.250667,0.166667,0.965517
0.637383,0.628692,0.318408,0.181818,0.886598,0.681818,0.540541,0.950355,0.756098,0.733333,0.74026,0.109333,0.166667,1
0.56324,0.529536,0.385572,0.242424,0.90378,0.772727,0.459459,0.950355,0.560976,0.633333,0.69697,0.277333,0.166667,1
0.410592,0.386076,0.258707,0.242424,0.907216,0.772727,0.540541,0.957447,0.487805,0.8,0.78355,0.085333,0.166667,1
0.554517,0.527426,0.20398,0.242424,0.914089,0.5,0.459459,0.957447,0.634146,0.433333,0.65368,0.250667,0.166667,1
0.593769,0.632911,0.283582,0.333333,0.920962,0.772727,0.540541,0.907801,0.682927,0.4,0.69697,0.056,0.166667,1
0.502804,0.50211,0.477612,0.242424,0.890034,0.727273,0.594595,0.964539,0.682927,0.2,0.74026,0.077333,0.166667,1
0.553271,0.474684,0.365672,0.181818,0.900344,0.772727,0.486486,0.93617,0.804878,0.566667,0.69697,0.034667,0.166667,1
0.533333,0.548523,0.465174,0.242424,0.914089,0.454545,0.567568,0.943262,0.804878,0.266667,0.61039,0.048,0,1
0.693458,0.651899,0.385572,0.575758,0.90378,0.727273,0.351351,0.943262,0.365854,0.4,0.69697,0.042667,0.166667,1
0.66729,0.607595,0.395523,0.393939,0.917526,0.818182,0.540541,0.929078,0.804878,0.566667,0.65368,0.050667,0.166667,1
0.528972,0.474684,0.124378,0.121212,0.920962,0.772727,0.702703,0.865248,0.682927,0.3,0.74026,0.08,0.166667,1
0.714019,0.751055,0.793532,0.69697,0.917526,0.681818,0.324324,0.879433,0.170732,0.5,0.61039,0.050667,0.166667,1
0.501558,0.449367,0.121891,0.30303,0.914089,0.772727,0.675676,0.921986,0.634146,0.566667,0.74026,0.224,0.166667,1
0.565732,0.561181,0.002488,0.151515,0.890034,0.772727,0.459459,0.950355,0.365854,0.8,0.69697,0.170667,0.166667,1
0.71838,0.704641,0.522389,0.30303,0.90378,0.454545,0.513514,0.921986,0.682927,0.633333,0.69697,0.090667,0.166667,0.965517
0.493458,0.464135,0.20398,0.545455,0.914089,0.772727,0.594595,0.921986,0.634146,0.7,0.74026,0.210667,0.166667,0.965517
0.464174,0.421941,0.171642,0.181818,0.893471,0.409091,0.513514,0.893617,0.365854,0.6,0.61039,0.162667,0.333333,0.965517
0.674143,0.613924,0.231343,0.272727,0.910653,0.636364,0.405405,0.914894,0.487805,0.633333,0.69697,0.122667,0.333333,1
0.357632,0.348101,0.365672,0.30303,0.900344,0.727273,0.513514,0.893617,0.317073,0.7,0.437229,0.048,0.166667,1
0.242991,0.257384,0.41791,0.30303,0.893471,0.454545,0.540541,0.929078,0.634146,0.733333,0.78355,0.112,0.333333,0.965517
0.297819,0.320675,0.164179,0.121212,0.896907,0.772727,0.702703,0.950355,0.756098,0.766667,0.74026,0.058667,0.166667,0.965517
0.446729,0.449367,0.348259,0.181818,0.890034,0.727273,0.594595,0.914894,0.487805,0.833333,0.78355,0.088,0.333333,1
0.448598,0.421941,0.176617,0.515152,0.872852,0.454545,0.540541,0.886525,0.243902,0.733333,0.82684,0.048,0.333333,0.965517
0.502804,0.472574,0.211443,0.121212,0.90378,0.727273,0.648649,0.787234,0.04878,0.866667,0.69697,0.082667,0.166667,1
0.46729,0.468354,0.266169,0.363636,0.910653,0.681818,0.513514,0.886525,0.317073,0.9,0.69697,0.16,0.166667,0.965517
0.661682,0.672996,0.59204,0.121212,0.893471,0.545455,0.513514,0.921986,0.439024,0.633333,0.74026,0.042667,0.166667,0.965517
0.686604,0.675105,0.584577,0.242424,0.886598,0.636364,0.486486,0.907801,0.365854,0.666667,0.52381,0.074667,0.166667,1
0.523364,0.521097,0.335821,0.181818,0.879725,0.681818,0.594595,0.93617,0.756098,0.766667,0.78355,0.082667,0.333333,1
0.435514,0.438819,0.402985,0.212121,0.910653,0.727273,0.594595,0.921986,0.487805,0.766667,0.82684,0.061333,0.333333,0.965517
0.437383,0.411392,0.61194,0.545455,0.900344,0.454545,0.378378,0.921986,0.317073,0.7,0.74026,0.064,0.333333,1
0.543302,0.510549,0.176617,0.151515,0.893471,0.681818,0.378378,0.914894,0.365854,0.833333,0.69697,0.152,0.166667,1
0.534579,0.531646,0.164179,0.212121,0.883162,0.681818,0.513514,0.865248,0.170732,0.766667,0.74026,0.109333,0.333333,1
0.487227,0.457806,0.231343,0.363636,0.900344,0.681818,0.432432,0.886525,0.121951,0.833333,0.69697,0.058667,0.166667,0.965517
0.500935,0.5,0.497512,0.212121,0.900344,0.272727,0.432432,0.943262,0.243902,0.6,0.69697,0.053333,0.333333,0.965517
0.464798,0.436709,0.179104,0.212121,0.917526,0.363636,0.513514,0.87234,0.121951,0.733333,0.78355,0.138667,0.333333,0.965517
0.579439,0.57384,0.432836,0.272727,0.890034,0.409091,0.540541,0.921986,0.121951,0.733333,0.74026,0.114667,0.166667,1
0.498442,0.468354,0.176617,0.30303,0.890034,0.272727,0.405405,0.886525,0.170732,0.833333,0.69697,0.106667,0.166667,1
0.610592,0.57384,0.211443,0.515152,0.896907,0.727273,0.405405,0.858156,0.121951,0.766667,0.69697,0.178667,0.166667,1
0.482866,0.483122,0.064677,0.090909,0.886598,0.727273,0.621622,0.907801,0.243902,0.733333,0.74026,0.205333,0.166667,1
0.464798,0.436709,0.412935,0.151515,0.907216,0.772727,0.513514,0.93617,0.365854,0.766667,0.74026,0.104,0.333333,1
0.278505,0.261603,0.385572,0.393939,0.914089,0.772727,0.459459,0.929078,0.365854,0.633333,0.78355,0.128,0.166667,0.965517
